year,km_driven,fuel,seller_type,transmission,owner,new_name,seats,mileage,engine,max_power,torque_nm,max_torque_rpm,country owner,was_filledna,age,km_per_year,is_automatic_flag,is_first_owner_flag,engine per liter,is_passenger_car_flag,is_dealer,brand_grouped,power_per_liter,torque_per_liter,car_age_pol,selling_price
2005.0,100000,Petrol,Individual,Manual,Second Owner,Maruti,5,17.3,993,60.0,78.0,4500.0,India,0,20.0,5000.0,0,0,0.993,1,0,Maruti,60.42296072507553,78.54984894259819,400.0,92000
2009.0,140000,Diesel,Individual,Manual,Second Owner,Maruti,5,19.3,1248,73.9,190.0,2000.0,India,0,16.0,8750.0,0,0,1.248,1,0,Maruti,59.21474358974359,152.24358974358975,256.0,280000
2007.0,80000,Petrol,Individual,Manual,Second Owner,Maruti,5,19.369999999999997,1248,81.86,160.0,2000.0,India,0,18.0,4444.444444444444,0,0,1.248,1,0,Maruti,65.59294871794872,128.2051282051282,324.0,200000
2009.0,90000,Petrol,Individual,Manual,Second Owner,Maruti,5,18.9,1061,67.0,84.0,3500.0,India,0,16.0,5625.0,0,0,1.061,1,0,Maruti,63.14797360980208,79.17059377945336,256.0,180000
2016.0,40000,Petrol,Individual,Manual,First Owner,Mahindra,5,18.15,1198,82.0,115.0,3500.0,India,0,9.0,4444.444444444444,0,1,1.198,1,0,Mahindra,68.44741235392321,95.99332220367279,81.0,400000
2012.0,53000,Diesel,Individual,Manual,Second Owner,Hyundai,5,23.0,1396,90.0,219.66895999999997,1750.0,South Korea,0,13.0,4076.923076923077,0,0,1.396,1,0,Hyundai,64.46991404011462,157.35598853868194,169.0,500000
2002.0,80000,Petrol,Individual,Manual,Second Owner,Maruti,5,19.7,796,46.3,62.0,3000.0,India,0,23.0,3478.2608695652175,0,0,0.796,1,0,Maruti,58.16582914572864,77.8894472361809,529.0,150000
2016.0,100000,Diesel,Individual,Manual,First Owner,Hyundai,5,22.54,1396,88.73,219.7,1500.0,South Korea,0,9.0,11111.111111111111,0,1,1.396,1,0,Hyundai,63.56017191977078,157.378223495702,81.0,680000
2011.0,100000,Diesel,Individual,Manual,Second Owner,Mahindra,5,21.0,1461,64.1,160.0,2000.0,India,0,14.0,7142.857142857143,0,0,1.461,1,0,Mahindra,43.874058863791916,109.51403148528405,196.0,174000
2017.0,50000,Diesel,Individual,Manual,First Owner,Honda,5,25.5,1498,98.6,200.0,1750.0,Japan,0,8.0,6250.0,0,1,1.498,1,0,Honda,65.82109479305741,133.5113484646195,64.0,950000
2015.0,40000,Diesel,Individual,Manual,First Owner,Maruti,5,26.59,1248,74.0,190.0,2000.0,India,0,10.0,4000.0,0,1,1.248,1,0,Maruti,59.294871794871796,152.24358974358975,100.0,525000
2012.0,72000,Diesel,Individual,Manual,First Owner,Maruti,5,21.5,1248,88.8,200.0,1750.0,India,0,13.0,5538.461538461538,0,1,1.248,1,0,Maruti,71.15384615384615,160.25641025641025,169.0,600000
2016.0,45000,Petrol,Individual,Manual,First Owner,Maruti,5,21.4,1197,83.1,115.0,4000.0,India,0,9.0,5000.0,0,1,1.197,1,0,Maruti,69.4235588972431,96.0735171261487,81.0,575000
2017.0,28000,Petrol,Individual,Manual,First Owner,Maruti,5,24.7,796,47.3,69.0,3500.0,India,0,8.0,3500.0,0,1,0.796,1,0,Maruti,59.42211055276381,86.68341708542714,64.0,275000
2013.0,70000,Diesel,Individual,Manual,First Owner,Chevrolet,7,18.2,1248,73.8,172.5,1750.0,USA,0,12.0,5833.333333333333,0,1,1.248,0,0,Chevrolet,59.13461538461538,138.22115384615384,144.0,300000
2009.0,120000,Petrol,Individual,Manual,First Owner,Maruti,5,18.9,1061,67.0,84.0,3500.0,India,0,16.0,7500.0,0,1,1.061,1,0,Maruti,63.14797360980208,79.17059377945336,256.0,220000
2018.0,25000,Petrol,Individual,Manual,First Owner,Maruti,8,16.8,796,37.0,59.0,2500.0,India,0,7.0,3571.4285714285716,0,1,0.796,0,0,Maruti,42.96482412060302,74.12060301507537,49.0,254999
2017.0,70000,Diesel,Individual,Manual,First Owner,Maruti,5,24.3,1248,88.5,200.0,1750.0,India,0,8.0,8750.0,0,1,1.248,1,0,Maruti,70.91346153846153,160.25641025641025,64.0,670000
2003.0,50000,Petrol,Individual,Manual,Second Owner,Fiat,5,19.369999999999997,1248,81.86,160.0,2000.0,Italy,0,22.0,2272.7272727272725,0,0,1.248,1,0,Other,65.59294871794872,128.2051282051282,484.0,70000
2012.0,35000,Petrol,Individual,Manual,Second Owner,Maruti,5,14.0,796,37.0,59.820564999999995,3000.0,India,0,13.0,2692.3076923076924,0,0,0.796,1,0,Maruti,43.969849246231156,75.15146356783919,169.0,150000
2017.0,16200,Diesel,Individual,Manual,First Owner,Maruti,5,24.3,1248,88.5,200.0,1750.0,India,0,8.0,2025.0,0,1,1.248,1,0,Maruti,70.91346153846153,160.25641025641025,64.0,650000
2019.0,10000,CNG,Individual,Manual,Second Owner,Maruti,4,28.4,796,40.3,60.0,3500.0,India,0,6.0,1666.6666666666667,0,0,0.796,1,0,Maruti,50.62814070351758,75.37688442211055,36.0,330000
2019.0,15000,Petrol,Individual,Manual,First Owner,Maruti,5,23.95,998,67.1,90.0,3500.0,India,0,6.0,2500.0,0,1,0.998,1,0,Maruti,67.23446893787575,90.18036072144288,36.0,366000
2019.0,5000,Petrol,Individual,Manual,First Owner,Hyundai,5,17.0,1591,121.3,151.0,4800.0,South Korea,0,6.0,833.3333333333334,0,1,1.591,1,0,Hyundai,76.24135763670647,94.90886235072281,36.0,1149000
2016.0,42000,Petrol,Individual,Manual,First Owner,Datsun,5,20.63,1198,67.0,104.0,4000.0,Japan,0,9.0,4666.666666666667,0,1,1.198,1,0,Other,55.92654424040067,86.81135225375627,81.0,150000
2011.0,60000,Diesel,Individual,Manual,Second Owner,Tata,7,13.93,2179,138.03,320.0,1700.0,India,0,14.0,4285.714285714285,0,0,2.179,0,0,Tata,63.34557136301056,146.85635612666363,196.0,425000
2012.0,76000,Petrol,Individual,Manual,First Owner,Maruti,4,16.1,796,37.0,59.0,2500.0,India,0,13.0,5846.153846153846,0,1,0.796,1,0,Maruti,46.482412060301506,74.12060301507537,169.0,150000
2019.0,5000,Petrol,Individual,Automatic,First Owner,Jeep,5,16.0,1368,160.77,250.0,1750.0,USA,0,6.0,833.3333333333334,1,1,1.368,1,0,Other,95.23809523809523,182.7485380116959,36.0,2100000
2018.0,28900,Petrol,Dealer,Manual,First Owner,Honda,5,17.8,1497,117.3,145.0,4600.0,Japan,0,7.0,4128.571428571428,0,1,1.497,1,1,Honda,78.3567134268537,96.86038744154976,49.0,925000
2013.0,86300,Petrol,Dealer,Manual,First Owner,Honda,5,16.8,1497,116.3,146.0,4800.0,Japan,0,12.0,7191.666666666667,0,1,1.497,1,1,Honda,77.68871075484302,97.52839011356045,144.0,425000
2018.0,32600,Diesel,Dealer,Manual,First Owner,Maruti,5,24.3,1248,88.5,200.0,1750.0,India,0,7.0,4657.142857142857,0,1,1.248,1,1,Maruti,70.91346153846153,160.25641025641025,49.0,819999
2018.0,10300,Petrol,Dealer,Manual,First Owner,Maruti,5,23.95,998,67.05,90.0,3500.0,India,0,7.0,1471.4285714285713,0,1,0.998,1,1,Maruti,67.18436873747494,90.18036072144288,49.0,390000
2014.0,77000,Diesel,Dealer,Manual,First Owner,Toyota,7,12.55,2982,168.5,343.0,1400.0,Japan,0,11.0,7000.0,0,1,2.982,0,1,Toyota,56.50570087189805,115.02347417840375,121.0,1500000
2013.0,99000,Diesel,Dealer,Manual,First Owner,Toyota,7,12.99,2494,100.0,200.0,1400.0,Japan,0,12.0,8250.0,0,1,2.494,0,1,Toyota,40.09623095429029,80.19246190858058,144.0,700000
2014.0,27800,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,5,14.8,2143,120.7,200.0,1400.0,Germany,0,11.0,2527.2727272727275,1,0,2.143,1,1,Other,56.32291180587961,93.32711152589829,121.0,1450000
2015.0,49800,Diesel,Dealer,Manual,First Owner,Honda,5,24.7,1498,98.63,200.0,1750.0,Japan,0,10.0,4980.0,0,1,1.498,1,1,Honda,65.8411214953271,133.5113484646195,100.0,425000
2013.0,151000,Diesel,Dealer,Manual,First Owner,Mitsubishi,7,13.5,2477,175.56,400.0,2000.0,Japan,0,12.0,12583.333333333334,0,1,2.477,0,1,Other,70.87605974969722,161.48566814695198,144.0,1090000
2015.0,54700,Diesel,Dealer,Manual,First Owner,Honda,5,26.0,1498,98.6,200.0,1750.0,Japan,0,10.0,5470.0,0,1,1.498,1,1,Honda,65.82109479305741,133.5113484646195,100.0,600000
2015.0,63000,Diesel,Dealer,Manual,First Owner,Honda,5,27.3,1498,98.6,200.0,1750.0,Japan,0,10.0,6300.0,0,1,1.498,1,1,Honda,65.82109479305741,133.5113484646195,100.0,525000
2016.0,127700,Diesel,Dealer,Automatic,Second Owner,Toyota,7,11.36,2755,171.5,360.0,1400.0,Japan,0,9.0,14188.888888888889,1,0,2.755,0,1,Toyota,62.25045372050817,130.6715063520871,81.0,1650000
2016.0,99000,Diesel,Dealer,Manual,First Owner,Toyota,7,12.99,2494,100.6,200.0,1400.0,Japan,0,9.0,11000.0,0,1,2.494,0,1,Toyota,40.336808340016034,80.19246190858058,81.0,950000
2013.0,33900,Diesel,Dealer,Automatic,Second Owner,Audi,5,17.68,1968,174.33,380.0,1750.0,Germany,0,12.0,2825.0,1,0,1.968,1,1,Other,88.58231707317074,193.08943089430895,144.0,1750000
2013.0,50000,Diesel,Dealer,Automatic,First Owner,Audi,5,18.53,1968,187.74,400.0,1750.0,Germany,0,12.0,4166.666666666667,1,1,1.968,1,1,Other,95.23809523809523,203.2520325203252,144.0,1689999
2013.0,59000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,5,14.84,2143,170.0,400.0,1400.0,Germany,0,12.0,4916.666666666667,1,1,2.143,1,1,Other,79.32804479701355,186.65422305179658,144.0,1425000
2011.0,120000,Diesel,Individual,Manual,First Owner,Tata,5,21.12,1248,88.8,200.0,1750.0,India,0,14.0,8571.42857142857,0,1,1.248,1,0,Tata,71.15384615384615,160.25641025641025,196.0,265000
2011.0,110000,Petrol,Individual,Manual,Third Owner,Hyundai,5,20.36,1197,78.9,111.7,4000.0,South Korea,0,14.0,7857.142857142857,0,0,1.197,1,0,Hyundai,65.91478696741855,93.31662489557226,196.0,190000
2013.0,60000,Diesel,Individual,Manual,First Owner,Hyundai,5,21.27,1396,88.76,219.6,1500.0,South Korea,0,12.0,5000.0,0,1,1.396,1,0,Hyundai,63.581661891117484,157.30659025787966,144.0,425000
2015.0,147000,Diesel,Individual,Manual,Second Owner,Maruti,5,26.59,1248,74.0,190.0,2000.0,India,0,10.0,14700.0,0,0,1.248,1,0,Maruti,59.294871794871796,152.24358974358975,100.0,630000
2017.0,25000,Petrol,Individual,Manual,Third Owner,Ford,5,18.16,1196,86.8,112.0,4000.0,USA,0,8.0,3125.0,0,0,1.196,1,0,Ford,72.5752508361204,93.64548494983278,64.0,600000
2019.0,30000,Petrol,Individual,Manual,First Owner,Maruti,5,21.4,1197,83.1,115.0,4000.0,India,0,6.0,5000.0,0,1,1.197,1,0,Maruti,69.4235588972431,96.0735171261487,36.0,650000
2016.0,40000,Diesel,Individual,Manual,First Owner,Volkswagen,5,22.0,1498,108.495,250.0,1500.0,Germany,0,9.0,4444.444444444444,0,1,1.498,1,0,Volkswagen,72.42656875834446,166.88918558077435,81.0,540000
2015.0,135000,Diesel,Individual,Manual,First Owner,Honda,5,25.1,1498,98.6,200.0,1750.0,Japan,0,10.0,13500.0,0,1,1.498,1,0,Honda,65.82109479305741,133.5113484646195,100.0,630000
2018.0,30000,Petrol,Individual,Automatic,First Owner,Maruti,5,20.51,998,67.0,90.0,3500.0,India,0,7.0,4285.714285714285,1,1,0.998,1,0,Maruti,67.13426853707415,90.18036072144288,49.0,448000
2017.0,80000,Diesel,Individual,Manual,First Owner,Volkswagen,5,21.66,1498,108.62,250.0,1500.0,Germany,0,8.0,10000.0,0,1,1.498,1,0,Volkswagen,72.51001335113484,166.88918558077435,64.0,500000
2019.0,9850,Diesel,Individual,Automatic,First Owner,Maruti,5,24.3,1248,88.5,200.0,1750.0,India,0,6.0,1641.6666666666667,1,1,1.248,1,0,Maruti,70.91346153846153,160.25641025641025,36.0,1025000
2016.0,70000,Diesel,Individual,Manual,First Owner,Maruti,5,25.2,1248,74.0,190.0,2000.0,India,0,9.0,7777.777777777777,0,1,1.248,1,0,Maruti,59.294871794871796,152.24358974358975,81.0,630000
2015.0,78000,Diesel,Individual,Manual,Second Owner,Toyota,7,12.55,2982,168.5,343.0,1400.0,Japan,0,10.0,7800.0,0,0,2.982,0,0,Toyota,56.50570087189805,115.02347417840375,100.0,1700000
2013.0,120000,Diesel,Individual,Manual,Second Owner,Maruti,5,22.9,1248,74.0,190.0,2000.0,India,0,12.0,10000.0,0,0,1.248,1,0,Maruti,59.294871794871796,152.24358974358975,144.0,450000
2012.0,120000,Petrol,Individual,Manual,Second Owner,Maruti,7,16.02,1373,93.7,130.0,4000.0,India,0,13.0,9230.76923076923,0,0,1.373,0,0,Maruti,68.24471959213402,94.68317552804079,169.0,450000
2003.0,70000,Diesel,Individual,Manual,First Owner,Tata,5,19.369999999999997,1248,81.86,160.0,2000.0,India,0,22.0,3181.818181818182,0,1,1.248,1,0,Tata,65.59294871794872,128.2051282051282,484.0,50000
2013.0,170000,Diesel,Individual,Manual,First Owner,Volkswagen,5,20.54,1598,103.6,250.0,1500.0,Germany,0,12.0,14166.666666666666,0,1,1.598,1,0,Volkswagen,64.83103879849811,156.44555694618273,144.0,450000
2016.0,140000,Diesel,Individual,Manual,First Owner,Toyota,8,12.99,2494,100.6,200.0,1400.0,Japan,0,9.0,15555.555555555555,0,1,2.494,0,0,Toyota,40.336808340016034,80.19246190858058,81.0,1200000
2015.0,90000,Diesel,Individual,Manual,First Owner,Ford,5,22.77,1498,98.59,205.0,1750.0,USA,0,10.0,9000.0,0,1,1.498,1,0,Ford,65.81441922563418,136.84913217623497,100.0,610000
2016.0,30000,Petrol,Individual,Automatic,Second Owner,BMW,5,15.71,1998,189.0,280.0,1400.0,Germany,0,9.0,3333.3333333333335,1,0,1.998,1,0,Other,94.5945945945946,140.14014014014015,81.0,2500000
2017.0,10000,Petrol,Dealer,Manual,First Owner,Maruti,5,23.1,998,67.04,90.0,3500.0,India,0,8.0,1250.0,0,1,0.998,1,1,Maruti,67.17434869739479,90.18036072144288,64.0,484999
2016.0,49000,Petrol,Dealer,Manual,First Owner,Datsun,5,19.02,1198,67.05,104.0,4000.0,Japan,0,9.0,5444.444444444444,0,1,1.198,1,1,Other,55.968280467445744,86.81135225375627,81.0,275000
2016.0,32000,Petrol,Dealer,Manual,First Owner,Maruti,5,24.7,796,47.3,69.0,3500.0,India,0,9.0,3555.5555555555557,0,1,0.796,1,1,Maruti,59.42211055276381,86.68341708542714,81.0,315000
2016.0,38000,Petrol,Dealer,Manual,First Owner,Maruti,5,24.7,796,47.3,69.0,3500.0,India,0,9.0,4222.222222222223,0,1,0.796,1,1,Maruti,59.42211055276381,86.68341708542714,81.0,275000
2015.0,78000,Diesel,Dealer,Manual,First Owner,Maruti,5,19.369999999999997,1248,81.86,160.0,2000.0,India,0,10.0,7800.0,0,1,1.248,1,1,Maruti,65.59294871794872,128.2051282051282,100.0,475000
2012.0,28000,Petrol,Dealer,Manual,First Owner,Hyundai,5,19.81,1086,68.05,99.04,4500.0,South Korea,0,13.0,2153.846153846154,0,1,1.086,1,1,Hyundai,62.66114180478821,91.19705340699815,169.0,290000
2017.0,32000,Petrol,Dealer,Manual,First Owner,Maruti,5,14.0,796,37.0,59.820564999999995,3000.0,India,0,8.0,4000.0,0,1,0.796,1,1,Maruti,43.969849246231156,75.15146356783919,64.0,280000
2010.0,44000,LPG,Dealer,Manual,First Owner,Maruti,5,26.2,998,58.2,77.0,3500.0,India,0,15.0,2933.3333333333335,0,1,0.998,1,1,Maruti,58.31663326653307,77.15430861723446,225.0,225000
2015.0,42000,Petrol,Dealer,Manual,First Owner,Volkswagen,5,16.47,1198,74.0,110.0,3750.0,Germany,0,10.0,4200.0,0,1,1.198,1,1,Volkswagen,61.76961602671119,91.81969949916528,100.0,455000
2015.0,45000,Petrol,Dealer,Manual,Second Owner,Hyundai,5,19.81,1086,68.05,99.04,4500.0,South Korea,0,10.0,4500.0,0,0,1.086,1,1,Hyundai,62.66114180478821,91.19705340699815,100.0,351000
2012.0,12000,Petrol,Dealer,Manual,Second Owner,Volkswagen,5,15.04,1598,103.6,153.0,3800.0,Germany,0,13.0,923.0769230769231,0,0,1.598,1,1,Volkswagen,64.83103879849811,95.74468085106382,169.0,535000
2009.0,55500,Petrol,Dealer,Manual,First Owner,Maruti,5,18.2,998,67.1,90.0,3500.0,India,0,16.0,3468.75,0,1,0.998,1,1,Maruti,67.23446893787575,90.18036072144288,256.0,175000
2013.0,61500,Petrol,Dealer,Manual,First Owner,Hyundai,5,18.5,1197,82.85,113.7,4000.0,South Korea,0,12.0,5125.0,0,1,1.197,1,1,Hyundai,69.21470342522973,94.9874686716792,144.0,525000
2016.0,150000,Diesel,Individual,Manual,First Owner,Maruti,5,26.59,1248,74.0,190.0,2000.0,India,0,9.0,16666.666666666668,0,1,1.248,1,0,Maruti,59.294871794871796,152.24358974358975,81.0,600000
2016.0,72000,Petrol,Dealer,Automatic,First Owner,Hyundai,5,19.1,1197,82.0,114.0,4000.0,South Korea,0,9.0,8000.0,1,1,1.197,1,1,Hyundai,68.50459482038428,95.23809523809523,81.0,565000
2008.0,68000,Petrol,Dealer,Manual,Third Owner,Maruti,5,19.7,796,46.3,62.0,3000.0,India,0,17.0,4000.0,0,0,0.796,1,1,Maruti,58.16582914572864,77.8894472361809,289.0,120000
2017.0,110000,Diesel,Individual,Manual,First Owner,Hyundai,5,22.54,1396,88.73,219.7,1500.0,South Korea,0,8.0,13750.0,0,1,1.396,1,0,Hyundai,63.56017191977078,157.378223495702,64.0,725000
2009.0,77000,Petrol,Dealer,Manual,Second Owner,Maruti,5,21.79,998,67.05,90.0,3500.0,India,0,16.0,4812.5,0,0,0.998,1,1,Maruti,67.18436873747494,90.18036072144288,256.0,185000
2010.0,100000,Diesel,Individual,Manual,Second Owner,Tata,5,18.8,1248,90.0,200.0,1750.0,India,0,15.0,6666.666666666667,0,0,1.248,1,0,Tata,72.11538461538461,160.25641025641025,225.0,200000
2019.0,10000,Petrol,Individual,Manual,First Owner,Maruti,5,21.21,1197,81.8,113.0,4200.0,India,0,6.0,1666.6666666666667,0,1,1.197,1,0,Maruti,68.33751044277359,94.40267335004177,36.0,615000
2018.0,35000,Petrol,Individual,Manual,First Owner,Maruti,5,21.4,1197,83.1,115.0,4000.0,India,0,7.0,5000.0,0,1,1.197,1,0,Maruti,69.4235588972431,96.0735171261487,49.0,610000
2014.0,70000,Diesel,Individual,Automatic,Second Owner,Mahindra,8,11.79,2179,120.0,290.0,1800.0,India,0,11.0,6363.636363636364,1,0,2.179,0,0,Mahindra,55.07113354749886,133.0885727397889,121.0,625000
2019.0,5000,Petrol,Individual,Manual,Second Owner,Ford,5,19.0,1194,94.68,120.0,4250.0,USA,0,6.0,1000.0,0,0,1.194,1,0,Ford,79.29648241206031,100.50251256281408,36.0,400000
2017.0,37800,Petrol,Individual,Manual,First Owner,Hyundai,5,17.0,1591,121.3,151.0,4800.0,South Korea,0,8.0,4725.0,0,1,1.591,1,0,Hyundai,76.24135763670647,94.90886235072281,64.0,866000
2010.0,114000,Petrol,Individual,Manual,First Owner,Volkswagen,5,14.3,1798,160.0,250.0,1500.0,Germany,0,15.0,7600.0,0,1,1.798,1,0,Volkswagen,88.98776418242491,139.04338153503892,225.0,700000
2019.0,32000,Diesel,Individual,Manual,First Owner,Mahindra,7,15.1,2179,155.0,360.0,1750.0,India,0,6.0,5333.333333333333,0,1,2.179,0,0,Mahindra,71.13354749885269,165.21340064249657,36.0,1700000
2016.0,100000,Diesel,Individual,Manual,First Owner,Tata,5,19.09,1405,69.01,135.0,2500.0,India,0,9.0,11111.111111111111,0,1,1.405,1,0,Tata,49.11743772241993,96.08540925266904,81.0,375000
2013.0,150000,Diesel,Individual,Manual,Second Owner,Hyundai,5,22.32,1582,126.32,259.8,1900.0,South Korea,0,12.0,12500.0,0,0,1.582,1,0,Hyundai,79.84829329962072,164.22250316055624,144.0,522000
2013.0,69000,Diesel,Individual,Manual,First Owner,Hyundai,5,21.9,1396,88.76,219.6,1500.0,South Korea,0,12.0,5750.0,0,1,1.396,1,0,Hyundai,63.581661891117484,157.30659025787966,144.0,451999
2009.0,100000,Petrol,Individual,Manual,Second Owner,Toyota,5,14.53,1798,138.1,173.0,4000.0,Japan,0,16.0,6250.0,0,0,1.798,1,0,Toyota,76.8075639599555,96.21802002224693,256.0,300000
2019.0,13000,Petrol,Individual,Manual,First Owner,Maruti,5,21.63,998,67.04,90.0,3500.0,India,0,6.0,2600.0,0,1,0.998,1,0,Maruti,67.17434869739479,90.18036072144288,36.0,475000
2016.0,60000,Diesel,Individual,Manual,First Owner,Maruti,5,24.3,1248,88.5,200.0,1750.0,India,0,9.0,6666.666666666667,0,1,1.248,1,0,Maruti,70.91346153846153,160.25641025641025,81.0,780000
2017.0,40000,Petrol,Individual,Manual,First Owner,Maruti,5,20.85,1197,83.14,115.0,4000.0,India,0,8.0,5000.0,0,1,1.197,1,0,Maruti,69.45697577276525,96.0735171261487,64.0,595000
2010.0,120000,Diesel,Individual,Manual,Second Owner,Maruti,5,19.369999999999997,1248,81.86,160.0,2000.0,India,0,15.0,8000.0,0,0,1.248,1,0,Maruti,65.59294871794872,128.2051282051282,225.0,300000
2014.0,70000,Diesel,Individual,Manual,Third Owner,Nissan,5,20.45,1461,83.8,200.0,1900.0,Japan,0,11.0,6363.636363636364,0,0,1.461,1,0,Other,57.35797399041752,136.89253935660506,121.0,400000
2016.0,50000,Diesel,Individual,Manual,First Owner,Hyundai,5,19.67,1582,126.2,259.9,1900.0,South Korea,0,9.0,5555.555555555556,0,1,1.582,1,0,Hyundai,79.7724399494311,164.28571428571428,81.0,1140000
2012.0,175000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,5,19.3,1248,73.9,190.0,2000.0,India,0,13.0,13461.538461538461,0,0,1.248,1,0,Maruti,59.21474358974359,152.24358974358975,169.0,370000
2018.0,25000,Petrol,Individual,Manual,First Owner,Renault,5,23.01,999,67.0,91.0,4250.0,France,0,7.0,3571.4285714285716,0,1,0.999,1,0,Renault,67.06706706706707,91.09109109109109,49.0,350000
2015.0,40000,Petrol,Individual,Manual,Second Owner,Maruti,5,23.1,998,67.04,90.0,3500.0,India,0,10.0,4000.0,0,0,0.998,1,0,Maruti,67.17434869739479,90.18036072144288,100.0,360000
2008.0,65000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,5,19.7,796,46.3,62.0,3000.0,India,0,17.0,3823.529411764706,0,0,0.796,1,0,Maruti,58.16582914572864,77.8894472361809,289.0,105000
2009.0,80000,Petrol,Individual,Manual,Second Owner,Hyundai,5,17.92,1086,62.1,96.1,3000.0,South Korea,0,16.0,5000.0,0,0,1.086,1,0,Hyundai,57.18232044198895,88.48987108655616,256.0,135000
2015.0,110000,Diesel,Individual,Manual,Second Owner,Maruti,7,20.77,1248,88.76,200.0,1750.0,India,0,10.0,11000.0,0,0,1.248,0,0,Maruti,71.12179487179488,160.25641025641025,100.0,700000
2019.0,5000,Petrol,Dealer,Manual,First Owner,Honda,5,17.8,1198,86.7,109.0,4500.0,Japan,0,6.0,672.5909523809523,0,1,1.198,1,1,Honda,72.37061769616027,90.98497495826378,36.0,690000
2018.0,31800,Diesel,Dealer,Automatic,First Owner,Audi,5,17.01,1968,188.0,400.0,1750.0,Germany,0,7.0,4542.857142857143,1,1,1.968,1,1,Other,95.23809523809523,203.2520325203252,49.0,3975000
2019.0,20000,Petrol,Dealer,Automatic,First Owner,Lexus,5,22.37,2487,204.1055999999999,202.0,3600.0,Japan,0,6.0,3333.3333333333335,1,1,2.487,1,1,Other,86.27261761158022,81.22235625251307,36.0,5150000
2017.0,45000,Diesel,Dealer,Automatic,First Owner,Jaguar,5,19.33,1999,177.0,430.0,1750.0,UK,0,8.0,5625.0,1,1,1.999,1,1,Other,88.54427213606803,207.64153419193687,64.0,3200000
2019.0,21000,Diesel,Dealer,Automatic,First Owner,Land,7,12.83,1999,148.31,382.0,1750.0,UK,0,6.0,3500.0,1,1,1.999,0,1,Other,74.19209604802401,191.09554777388692,36.0,4500000
2017.0,37000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,5,13.5,2982,204.1055999999999,450.1999999999998,1600.0,Germany,0,8.0,4625.0,1,1,2.982,1,1,Other,85.29963173752928,207.566119852695,64.0,6000000
2018.0,29500,Diesel,Dealer,Automatic,First Owner,BMW,5,22.48,1995,187.74,400.0,1750.0,Germany,0,7.0,4214.285714285715,1,1,1.995,1,1,Other,94.10526315789474,200.50125313283206,49.0,3790000
2017.0,27000,Diesel,Dealer,Automatic,First Owner,BMW,5,19.369999999999997,1248,81.86,160.0,2000.0,Germany,0,8.0,3375.0,1,1,1.248,1,1,Other,65.59294871794872,128.2051282051282,64.0,2150000
